,Punto,Cluster,Latitud,Longitud
39713,2.2217E+16,1,6.17459187,-75.57091293
39938,2.2217E+16,4,6.17459187,-75.57091293
39965,2.2217E+16,4,6.17459187,-75.57091293
39975,2.2217E+16,4,6.1750362,-75.57231087
39999,2.2217E+16,4,6.1750362,-75.57231087
40023,2.2217E+16,4,6.1750362,-75.57231087
40039,2.2217E+16,1,6.1750362,-75.57231087
40151,2.2217E+16,4,6.1750362,-75.57231087
40159,2.2217E+16,4,6.1750362,-75.57231087
40183,2.2217E+16,1,6.1750362,-75.57231087
40207,2.2217E+16,4,6.1750362,-75.57231087
40223,2.2217E+16,3,6.17551477,-75.57405394
40225,2.2217E+16,3,6.17527621,-75.57374255
40235,2.2217E+16,4,6.17527621,-75.57374255
40280,2.2217E+16,1,6.17527621,-75.57374255
40322,2.2217E+16,4,6.17527621,-75.57374255
40679,2.2217E+16,4,6.17527621,-75.57374255
40703,2.2217E+16,4,6.17527621,-75.57374255
40727,2.2217E+16,1,6.17527621,-75.57374255
41471,2.2217E+16,4,6.17527621,-75.57374255
41543,2.2217E+16,4,6.17527621,-75.57374255
41633,2.2217E+16,1,6.17527621,-75.57374255
41663,2.2217E+16,4,6.17527621,-75.57374255
41791,2.2217E+16,4,6.17527621,-75.57374255
41899,2.2217E+16,4,6.17527621,-75.57374255
42059,2.2217E+16,1,6.17527621,-75.57374255
42219,2.2217E+16,4,6.17527621,-75.57374255
42439,2.2217E+16,4,6.17527621,-75.57374255
42451,2.2217E+16,4,6.17527621,-75.57374255
42751,2.2217E+16,1,6.17527621,-75.57374255
42891,2.2217E+16,4,6.17527621,-75.57374255
42912,2.2217E+16,1,6.17527621,-75.57374255
43101,2.2217E+16,4,6.17527621,-75.57374255
43125,2.2217E+16,4,6.17527621,-75.57374255
43272,2.2217E+16,1,6.17527621,-75.57374255
43419,2.2217E+16,4,6.17769726,-75.57673167
43420,2.2217E+16,4,6.17586,-75.57481
43639,2.2217E+16,1,6.17769726,-75.57673167
43640,2.2217E+16,1,6.17586,-75.57481
43759,2.2217E+16,4,6.17586,-75.57481
43831,2.2217E+16,4,6.17586,-75.57481
43832,2.2217E+16,4,6.17769726,-75.57673167
43951,2.2217E+16,4,6.17586,-75.57481
43952,2.2217E+16,4,6.17769726,-75.57673167
43963,2.2217E+16,4,6.17586,-75.57481
44035,2.2217E+16,4,6.17769726,-75.57673167
44039,2.2217E+16,4,6.17586,-75.57481
44135,2.2217E+16,1,6.17769726,-75.57673167
44139,2.2217E+16,1,6.17586,-75.57481
44675,2.2217E+16,4,6.17586,-75.57481
44683,2.2217E+16,4,6.17586,-75.57481
44731,2.2217E+16,4,6.17769726,-75.57673167
44732,2.2217E+16,4,6.17586,-75.57481
44851,2.2217E+16,1,6.17769726,-75.57673167
44852,2.2217E+16,1,6.17586,-75.57481
45851,2.2217E+16,4,6.17586,-75.57481
45859,2.2217E+16,4,6.17769726,-75.57673167
45860,2.2217E+16,4,6.17586,-75.57481
45879,2.2217E+16,1,6.17769726,-75.57673167
45880,2.2217E+16,1,6.17586,-75.57481
45979,2.2217E+16,4,6.17586,-75.57481
46028,2.2217E+16,4,6.17769726,-75.57673167
46029,2.2217E+16,4,6.17622701,-75.57492623
46971,2.2217E+16,1,6.17769726,-75.57673167
46972,2.2217E+16,1,6.17622701,-75.57492623
47040,2.2217E+16,4,6.17622701,-75.57492623
47048,2.2217E+16,4,6.17622701,-75.57492623
47096,2.2217E+16,1,6.17622701,-75.57492623
47216,2.2217E+16,4,6.17622701,-75.57492623
47224,2.2217E+16,4,6.17622701,-75.57492623
47248,2.2217E+16,1,6.17622701,-75.57492623
47260,2.2217E+16,4,6.17622701,-75.57492623
47268,2.2217E+16,4,6.17622701,-75.57492623
47328,2.2217E+16,1,6.17622701,-75.57492623
47408,2.2217E+16,1,6.17622701,-75.57492623
47416,2.2217E+16,1,6.17622701,-75.57492623
47428,2.2217E+16,4,6.17622701,-75.57492623
47572,2.2217E+16,1,6.17734834,-75.57616551
